Customer id,Age,Gender,Location,Email Opened,Email Clicked,Product page visit,Discount offered,Purchased
1,22,0,Perth,1,1,3,1,1
2,55,0,Auckland,1,0,0,0,0
3,15,1,Sydney,0,1,2,1,1
4,25,0,Brisbane,1,1,5,1,0
5,36,1,Brisbane,0,1,1,1,0
6,30,0,Sydney,0,0,0,0,0
7,28,1,Sydney,0,0,3,1,1
8,19,1,Sydney,1,1,2,0,0
9,59,0,Perth,1,1,1,0,0
10,45,1,Auckland,0,0,0,0,0
11,43,0,Auckland,0,1,5,1,1
12,37,0,Perth,1,1,4,1,1
13,39,1,Perth,0,1,2,0,0
14,18,1,Perth,1,0,3,1,1
15,55,1,Perth,0,0,2,0,1
16,60,1,Sydney,1,0,0,0,0
17,53,1,Sydney,1,1,1,0,1
18,23,0,Perth,1,0,1,0,1
19,62,1,Perth,0,1,2,1,1
20,41,0,Brisbane,0,1,5,1,0
